time,price,volume,open_interest
2025-09-05 00:00:00,,0,96876
2025-09-05 01:00:00,,0,96876
2025-09-05 02:00:00,0.0500,205,96876
2025-09-05 03:00:00,0.0500,238,96876
2025-09-05 04:00:00,,0,96876
2025-09-05 05:00:00,0.0500,102,96876
2025-09-05 06:00:00,,0,96876
2025-09-05 07:00:00,,0,96876
2025-09-05 08:00:00,0.0500,200,97076
2025-09-05 09:00:00,,0,97076
2025-09-05 10:00:00,,0,97076
2025-09-05 11:00:00,0.0500,18,97094
2025-09-05 12:00:00,,0,97094
2025-09-05 13:00:00,,0,97094
2025-09-05 14:00:00,,0,97094
2025-09-05 15:00:00,0.0500,128,97094
2025-09-05 16:00:00,0.0500,46,97094
2025-09-05 17:00:00,,0,97094
2025-09-05 18:00:00,0.0400,3937,93184
2025-09-05 19:00:00,0.0400,200,93184
2025-09-05 20:00:00,0.0300,264,92945
2025-09-05 21:00:00,0.0400,3281,92909
2025-09-05 22:00:00,0.0500,5441,92891
2025-09-05 23:00:00,0.0500,130,92896
2025-09-06 00:00:00,0.0600,284,92612
2025-09-06 01:00:00,,0,92612
2025-09-06 02:00:00,,0,92612
2025-09-06 03:00:00,,0,92612
2025-09-06 04:00:00,,0,92612
2025-09-06 05:00:00,0.0700,151,92612
2025-09-06 06:00:00,,0,92612
2025-09-06 07:00:00,,0,92612
2025-09-06 08:00:00,,0,92612
2025-09-06 09:00:00,,0,92612
2025-09-06 10:00:00,,0,92612
2025-09-06 11:00:00,,0,92612
2025-09-06 12:00:00,,0,92612
2025-09-06 13:00:00,,0,92612
2025-09-06 14:00:00,,0,92612
2025-09-06 15:00:00,,0,92612
2025-09-06 16:00:00,0.0300,20628,110698
2025-09-06 17:00:00,0.0300,900,110698
2025-09-06 18:00:00,,0,110698
2025-09-06 19:00:00,,0,110698
2025-09-06 20:00:00,,0,110698
2025-09-06 21:00:00,0.0600,1761,110718
2025-09-06 22:00:00,,0,110718
2025-09-06 23:00:00,,0,110718
2025-09-07 00:00:00,0.0400,11,110718
2025-09-07 01:00:00,,0,110718
2025-09-07 02:00:00,,0,110718
2025-09-07 03:00:00,,0,110718
2025-09-07 04:00:00,,0,110718
2025-09-07 05:00:00,,0,110718
2025-09-07 06:00:00,0.0500,1,110717
2025-09-07 07:00:00,,0,110717
2025-09-07 08:00:00,,0,110717
2025-09-07 09:00:00,0.0500,37,110717
2025-09-07 10:00:00,,0,110717
2025-09-07 11:00:00,,0,110717
2025-09-07 12:00:00,0.0400,600,111317
2025-09-07 13:00:00,,0,111317
2025-09-07 14:00:00,,0,111317
